MSRP Results:
8 3 5 0.4 5:  0.32, 0.319, 0.31, 0.31, 0.303, 1, 0, 0, 9, 0, 10
8 3 5 0.4 6:  0.207, 0.206, 0.198, 0.198, 0.191, 1, 0, 0, 8, 0, 9
8 3 5 0.4 7:  0.132, 0.132, 0.127, 0.127, 0.123, 0, 0, 0, 5, 0, 5
8 3 5 0.4 8:  0.303, 0.303, 0.296, 0.296, 0.291, 0, 0, 0, 7, 0, 7
8 3 10 0.2 1:  1.0, 1.0, 0.999, 0.999, 0.999, 0, 0, 0, 1, 0, 1
8 3 10 0.2 2:  0.997, 0.997, 0.995, 0.995, 0.992, 0, 0, 0, 2, 0, 2
8 3 10 0.2 3:  0.998, 0.998, 0.996, 0.996, 0.995, 0, 0, 0, 2, 0, 2
8 3 10 0.2 4:  0.991, 0.991, 0.987, 0.987, 0.984, 0, 0, 0, 4, 0, 4
8 3 10 0.2 5:  0.824, 0.824, 0.82, 0.82, 0.818, 0, 0, 0, 4, 0, 4
8 3 10 0.2 6:  0.653, 0.653, 0.647, 0.647, 0.643, 0, 0, 0, 6, 0, 6
8 3 10 0.2 7:  0.562, 0.562, 0.558, 0.558, 0.554, 0, 0, 0, 4, 0, 4
8 3 10 0.2 8:  0.732, 0.732, 0.728, 0.728, 0.723, 0, 0, 0, 4, 0, 4
8 3 10 0.3 1:  1.0, 1.0, 0.996, 0.996, 0.992, 0, 0, 0, 4, 0, 4
8 3 10 0.3 2:  0.992, 0.991, 0.984, 0.984, 0.976, 1, 0, 0, 7, 0, 8
8 3 10 0.3 3:  0.979, 0.979, 0.968, 0.968, 0.958, 0, 0, 0, 11, 0, 11
8 3 10 0.3 4:  0.911, 0.911, 0.895, 0.895, 0.88, 0, 0, 0, 16, 0, 16
8 3 10 0.3 5:  0.595, 0.595, 0.585, 0.585, 0.577, 0, 0, 0, 10, 0, 10
8 3 10 0.3 6:  0.452, 0.451, 0.443, 0.443, 0.439, 1, 0, 0, 8, 0, 9
8 3 10 0.3 7:  0.376, 0.376, 0.373, 0.373, 0.365, 0, 0, 0, 3, 0, 3
8 3 10 0.3 8:  0.543, 0.542, 0.537, 0.537, 0.53, 1, 0, 0, 5, 0, 6
8 3 10 0.4 1:  0.992, 0.992, 0.984, 0.984, 0.976, 0, 0, 0, 8, 0, 8
8 3 10 0.4 2:  0.961, 0.961, 0.939, 0.939, 0.913, 0, 0, 0, 22, 0, 22
